Тест Кейс №/ID,TC-MAS4-009,
Проект,Tomoru.Team - https://t.me/mini_app_stage_4_bot,
Компонент,Профиль/Резюме,
Дата,08.04.2025,
Тестировщик,Андреев Александр ,
Проверил,,
Дата проверки,,
,,
Название/заголовок,Установки аватара,
Описание:,Проверка и установка аватара пользователя,
Предусловия:,Открыто приложение и резюме уже создано,
Тестовые данные:,Приложение t.me/mini_app_stage_4_bot,
,,
Шаг,Описание шага,Ожидаемый результат
1,Открыть профиль,Профиль открыт
2,"Во вкладке ""Профиль"" нажимаем на Редактировать",Перенаправление на новое окно редактирования профиля
3,"Нажимаем на кнопку ""Выбрать фотографию""",Открывается окно выбора фото.
4,"Выбираем кадрирование и нажимаем ""Загрузить""","Кадрирование выбрано, фото успешно загружено в профиль"
