Чек-лист по Проекту 13.3.1 (PJ-04),,Александр Андреев QAM-66,,Тестирование UI - метод черного ящика
,,,,
,№,Описание,Результат,Комментарии
,1,Проверка отображения формы авторизации.,Выполнено,Форма авторизации отображается верно
,2,Проверка авторизации по номеру телефона.,Выполнено,Авторизация успешна
,3,Проверка авторизации по почте.,Выполнено,Авторизация успешна
,4,Проверка авторизации по временному  QR коду.,Есть ошибки,Сайт не подразумевает вход по временному коду.
,5,Проверка восстановления пароля по SMS.,Выполнено,Сайт дает возможность восстановить пароль
,6,Проверка восстановления пароля по почте.,Выполнено,Сайт дает возможность восстановить пароль
,7,Проверка правил создания пароля.,Выполнено,Пароли должен входить в определенные рамки
,8,Проверка регистрации нового пользователя.,Выполнено,Регистрация выполнена успешно
,9,Проверка уникальности email и телефона.,Выполнено,"Если email или номер телефона зарегестрированы в системе, система не даст зарегистрироваться."
,10,Проверка отображения ошибок при некорректном вводе данных.,Выполнено,"Появляется предупреждение, о неправильности выбора"
