Тест Кейс №/ID,TC-MAS4-006,
Проект,Tomoru.Team - https://t.me/mini_app_stage_4_bot,
Компонент,Бот/Приложение/Резюме,
Дата,08.04.2025,
Тестировщик,Андреев Александр ,
Проверил,,
Дата проверки,,
,,
Название/заголовок,Сохранение резюме после перезахода,
Описание:,Отображение резюме после перезахода.,
Предусловия:,Пользователь уже создал резюме,
Тестовые данные:,Приложение t.me/mini_app_stage_4_bot,
,,
Шаг,Описание шага,Ожидаемый результат
1,"Открываем свой ""Профиль"" и проверяем свое резюме",Резюме отображается.
2,"Закрываем приложением ""Нажимаем на крестик вверху слева""",Приложение закрыто.
3,Открываем чат с ботом,Чат открыт
4,"Нажимаем на ""Запустить приложение""",Приложение запущено на главной странице
5,Переходив в раздел профиль,Резюме успешно отображается в разделе профиль.
