Чек-лист,,Александр Андреев,,Тестирование UI/UX приложения методом черного ящика. Тестовая среда: https://t.me/mini_app_stage_4_bot
,,,,
,№,Описание,Результат,Комментарии
,1,Заполнение обязательных полей. Основное/Опыт работы/Подробности,Выполнено,
,2,Сохранение резюме,Выполнено,
,3,Отображение резюме в профиле после его сохранения,Выполнено,Резюме отображается в основном профиле пользователя
,4,Изменения данных в резюме/добавление новых пунктов,Выполнено,
,5,Обновление данных после сохранения,Выполнено,
,6,Удаление резюме и просмотр его в профиле после удаления,Есть ошибки,"Резюме нет возможности удалить, нет специальной кнопки для этого."
,7,Проверка на ввод корректных данных и добавление токенов (impact),Выполнено,Токены добавляться в копилку
,8,"Пропуск обязательных полей, оставляем их пустыми",Выполнено,Система выдает ошибку и не дает оставить поле пустым
,9,Ввод некорректных значений в форме даты,Есть ошибки,"Дату в будущем времени нельзя внести, но можно указать опыт работы с 1 года нашей эры."
,10,"После закрытие приложения и вновь его открытие, резюме так же отображается.",Выполнено,
,11,Проверка свайпа и поиск вакансий (дополнительно),Есть ошибки,"На смартфоне pixel 7 pro имеются проблемы с отображением свайпа в разные стороны, появляться артефакты и изображение начинает плохо синхронизироваться с экраном. Ссылка на видео с дефектом: https://drive.google.com/file/d/1EuuKxOLsDbgWN23CoDl2GvzlCl0a5dT5/view?usp=sharing"
,12,,,
,13,,,
