Тест Кейс №/ID,TC-MAS4-001,
Проект,Tomoru.Team - https://t.me/mini_app_stage_4_bot,
Компонент,Профиль/Резюме,
Дата,08.04.2025,
Тестировщик,Андреев Александр ,
Проверил,,
Дата проверки,,
,,
Название/заголовок,Создание резюме,
Описание:,Резюме создано и отображается в профиле,
Предусловия:,Открыто приложение,
Тестовые данные:,Приложение t.me/mini_app_stage_4_bot,
,,
Шаг,Описание шага,Ожидаемый результат
1,Открыть профиль,Профиль открыт
2,"Во вкладке ""Мое резюме"" Создать резюме",Перенаправление на новое окно создание резюме
3,Заполняем обязательные поля Основное/Опыт работы/Подробности,Поля успешно заполнены 
4,"Нажимаем ""Создать резюме""",Резюме успешно создано
