Тест Кейс №/ID,TC-MAS4-010,,
Проект,Tomoru.Team - https://t.me/mini_app_stage_4_bot,,
Компонент,Профиль/Резюме,,
Дата,08.04.2025,,
Тестировщик,Андреев Александр ,,
Проверил,,,
Дата проверки,,,
,,,
Название/заголовок,Редактирование профиля,,
Описание:,Проверка и редактирование имени и фамилии пользователя,,
Предусловия:,Открыто приложение и резюме уже создано,,
Тестовые данные:,Приложение t.me/mini_app_stage_4_bot,,
,,,
Шаг,Описание шага,Ожидаемый результат,
1,Открыть профиль,Профиль открыт,
2,"Во вкладке ""Профиль"" нажимаем на Редактировать",Перенаправление на новое окно редактирования профиля,
3,"В графе ""Имя"" вводим новое имя",Имя успешно введено,
4,"В графе ""Фамилия"" вводим новую фамилию",Фамилия успешно введена,
5,"Нажимаем на ""Сохранить""","Перенаправление на оконо редактирования пользователя. ""Данные сохранены""",
6,"Повторяем шаги 3/4, но оставляем их пустыми.","Ошибка: ""Поле обязательно для заполнения.""",Bug 👾
